,Unnamed: 0,dbn,school_name,borough,latitude,longitude,location,avg_perc Grads,latitude_rad,longitude_rad,trees,crashes,pc,shootings,arrests,programs,bins
18,18,02M305,"Urban Assembly Academy of Government and Law, The",Manhattan,40.716778,-73.989337,"(40.716778, -73.989337)",80.75750000000001,0.7106418369035917,-1.2913575420176635,0.4073926674111617,2.289612274211831,-0.12022762041809114,-0.6296857445698507,1.818761751430129,2.0555115966892648,0.26645055940863616
19,19,02M308,Lower Manhattan Arts Academy,Manhattan,40.716778,-73.989337,"(40.716778, -73.989337)",76.7475,0.7106418369035917,-1.2913575420176635,0.4073926674111617,2.289612274211831,-0.12022762041809114,-0.6296857445698507,1.818761751430129,2.0555115966892648,0.26645055940863616
20,20,02M316,"Urban Assembly School of Business for Young Women, the",Manhattan,40.70568,-74.013302,"(40.70568, -74.013302)",77.80499999999999,0.7104481402632055,-1.291775810172904,-1.2151975226970928,0.6519618864282473,-0.9285271607674112,-0.8666856329285653,-0.4154155238126211,-0.970966057465751,2.280964304418567
21,21,02M374,Gramercy Arts High School,Manhattan,40.735494,-73.987659,"(40.735494, -73.987659)",79.8075,0.7109684927263951,-1.2913282553928151,0.5884395728337669,1.6127358341186162,-0.9285271607674112,-0.5664857743408602,2.63182066704857,-0.6683182920502495,2.280964304418567
22,22,02M376,NYC iSchool,Manhattan,40.7244,-74.004625,"(40.7244, -74.004625)",97.48076923076924,0.7107748658991788,-1.2916243679537087,0.3356571011116389,2.192439301812805,-0.9285271607674112,-0.83508564781407,0.9333148067633704,0.5422727696117567,-0.13645218959335
23,23,02M392,MANHATTAN BUSINESS ACADEMY,Manhattan,40.742867,-74.002136,"(40.742867, -74.002136)",86.5952380952381,0.7110971758521445,-1.2915809267086265,0.6089354489193449,1.1073411100236825,-0.9285271607674112,-0.6296857445698507,1.317356859099001,-0.970966057465751,1.0722560574126083
24,24,02M393,BUSINESS OF SPORTS SCHOOL,Manhattan,40.76337,-73.990593,"(40.76337, -73.990593)",75.32857142857142,0.7114550207086809,-1.2913794633530689,1.2203957521390871,1.7165775399175753,-0.12022762041809114,-0.7718856775850794,0.8793450336267549,-0.970966057465751,-0.13645218959335
25,25,02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,Manhattan,40.735494,-73.987659,"(40.735494, -73.987659)",73.43333333333332,0.7109684927263951,-1.2913282553928151,0.5884395728337669,1.6127358341186162,-0.9285271607674112,-0.5664857743408602,2.63182066704857,-0.6683182920502495,2.280964304418567
26,26,02M400,High School for Environmental Studies,Manhattan,40.767791,-73.987531,"(40.767791, -73.987531)",83.50576923076923,0.7115321817149116,-1.2913260213713729,0.8617179206414729,1.5646256860190986,1.496371460280549,-0.8192856552568224,1.03020339948958,-0.970966057465751,-0.5393549385953362
27,27,02M407,Institute for Collaborative Education,Manhattan,40.732447,-73.983031,"(40.732447, -73.983031)",87.82499999999999,0.7109153125440867,-1.291247481555033,0.9368694662885921,0.913947841425621,-0.12022762041809114,-0.6928857147988413,-0.1546472866255455,-0.3656705266347479,-0.5393549385953362
28,28,02M408,Professional Performing Arts High School,Manhattan,40.761448,-73.988019,"(40.761448, -73.988019)",93.86923076923075,0.7114214754804576,-1.2913345385781223,-0.00594083364799366,3.4352054047003473,0.6880719199312288,-0.7402856924705842,3.970528039756333,-0.970966057465751,-0.13645218959335
29,29,02M411,Baruch College Campus High School,Manhattan,40.74193,-73.986521,"(40.74193, -73.986521)",99.4076923076923,0.7110808221170534,-1.2913083935459275,-0.5217537151350388,1.7956496645167828,-0.9285271607674112,-0.5980857594553555,0.21842947846962998,-0.970966057465751,-0.5393549385953362
